age,attrition,businesstravel,distancefromhome,education,educationfield,employeenumber,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,remotework,department,environmentsatisfaction
51,no,,6,3,,162.0,m,3,5, research director ,3,,19537.0,7,no,13,3,full_time,0,5,3.0,20,15,15,yes,research & development,1
52,no,,1,4,life sciences,259.0,m,2,5, manager ,3,,19999.0,0,,14,1,full_time,1,5,3.0,33,11,9,yes,unknow,3
42,no,travel_rarely,4,2,technical degree,319.0,m,3,5, manager ,4,married,19232.0,1,no,11,4,full_time,0,3,,22,11,15,yes,research & development,3
47,no,travel_rarely,2,4,medical,,f,3,4, research director ,3,married,17169.0,3,,19,2,full_time,2,2,,20,5,6,no,research & development,1
46,no,,3,3,technical degree,,f,4,4, sales executive ,1,divorced,,2,no,12,4,full_time,1,5,3.0,19,2,8,no,sales,1
48,no,,22,3,medical,1900.0,f,3,4, manager ,4,,17174.0,3,no,11,2,full_time,1,3,3.0,22,4,7,yes,research & development,4
59,no,,25,3,life sciences,81.0,f,3,3, sales executive ,1,,,7,,11,4,full_time,0,3,2.0,21,7,9,yes,sales,1
42,no,travel_rarely,1,1,,387.0,m,3,2, sales executive ,3,married,,1,no,25,3,full_time,0,3,3.0,20,11,6,no,sales,2
41,no,,2,5,,,f,3,4, manager ,1,married,16595.0,7,no,16,2,full_time,1,2,3.0,18,11,8,yes,unknow,2
41,no,travel_frequently,9,3,,999.0,m,3,5, research director ,3,,,2,no,17,2,full_time,1,2,4.0,18,0,11,no,research & development,1
41,no,non_travel,7,1,,1035.0,f,1,5, research director ,3,,19973.0,1,no,22,2,full_time,2,3,3.0,21,5,10,no,research & development,2
56,no,travel_rarely,23,3,life sciences,,m,3,4, manufacturing director ,2,married,13402.0,4,yes,12,1,full_time,1,0,3.0,19,15,9,no,research & development,4
38,no,,10,3,medical,,f,1,3, research director ,3,married,13206.0,3,no,12,1,full_time,1,3,3.0,18,1,11,yes,research & development,2
41,yes,travel_rarely,12,3,,58.0,f,3,5, research director ,3,married,19545.0,1,no,12,4,full_time,0,0,3.0,22,15,8,no,research & development,2
55,no,,14,4,medical,,m,4,5, research director ,2,single,,8,no,11,4,full_time,0,3,3.0,24,2,15,yes,research & development,3
40,no,travel_rarely,2,4,,558.0,f,3,5, manager ,3,,18041.0,0,no,14,4,full_time,0,2,3.0,20,1,12,no,unknow,3
58,yes,travel_rarely,2,4,,825.0,m,3,5, research director ,2,single,19246.0,7,yes,12,4,full_time,0,2,3.0,31,13,8,no,research & development,4
46,no,travel_rarely,2,3,,,f,3,4, manager ,1,,,8,,23,1,full_time,0,2,3.0,26,15,9,no,unknow,3
35,no,,13,5,life sciences,,m,4,2, research scientist ,1,married,,1,,11,4,full_time,0,2,3.0,16,1,10,no,research & development,2
40,no,travel_rarely,15,3,life sciences,,f,2,3, manufacturing director ,3,,,1,,13,4,full_time,2,2,,18,14,12,yes,research & development,1
45,no,non_travel,1,1,,1712.0,m,2,3, healthcare representative ,3,,10748.0,3,,23,4,full_time,1,3,2.0,23,14,4,no,research & development,3
33,no,,1,2,life sciences,73.0,f,3,3, research director ,4,single,,1,yes,12,3,full_time,0,1,3.0,15,8,12,yes,research & development,1
36,no,,8,3,,,f,3,3, healthcare representative ,3,divorced,,1,,13,2,full_time,3,2,3.0,17,12,8,yes,research & development,3
47,no,,2,2,other,820.0,f,3,4, manager ,4,married,16752.0,1,,11,3,part_time,1,3,2.0,26,3,0,no,unknow,3
36,no,travel_rarely,42,2,life sciences,,m,3,2, sales executive ,4,,6201.0,1,,14,4,full_time,1,1,,18,4,11,yes,sales,4
35,no,,9,3,life sciences,,f,2,3, manufacturing director ,3,married,,1,yes,20,2,part_time,1,2,3.0,17,5,15,no,research & development,4
52,yes,,2,1,,,f,1,5, manager ,4,married,19845.0,1,no,15,4,full_time,1,3,3.0,32,6,9,yes,unknow,1
36,no,,2,4,life sciences,1294.0,f,3,2, manufacturing director ,2,single,,9,yes,11,4,full_time,0,2,3.0,16,5,12,no,research & development,3
33,no,travel_rarely,28,4,life sciences,,m,3,2, laboratory technician ,3,married,,1,,12,2,full_time,1,3,3.0,15,5,7,yes,research & development,2
34,no,non_travel,10,3,life sciences,1774.0,m,3,2, sales executive ,3,,4001.0,1,yes,14,3,full_time,1,3,3.0,15,0,7,yes,sales,4
41,no,,37,1,,1815.0,f,3,3, sales executive ,3,divorced,10447.0,0,,13,4,full_time,1,3,4.0,22,13,5,yes,sales,3
47,no,,25,3,medical,1993.0,m,3,3, healthcare representative ,3,,,2,,23,2,full_time,0,3,3.0,17,12,11,yes,research & development,1
53,no,travel_rarely,5,3,,32.0,f,3,5, manager ,3,,,4,,11,4,full_time,1,3,2.0,14,4,8,yes,unknow,3
35,no,,1,4,marketing,100.0,m,2,2, sales executive ,1,single,,0,no,14,2,part_time,0,2,3.0,15,2,8,no,sales,3
34,no,travel_rarely,6,4,other,,f,3,2, research scientist ,3,single,,1,,14,3,full_time,0,3,3.0,16,2,10,yes,research & development,1
46,no,travel_rarely,1,2,,244.0,f,3,3, sales executive ,1,divorced,,1,no,25,3,full_time,3,2,3.0,24,15,7,yes,sales,2
43,no,,16,3,,327.0,f,3,4, manager ,4,married,16064.0,5,,22,3,full_time,1,3,3.0,17,1,9,yes,unknow,4
36,no,,6,3,life sciences,373.0,m,3,1, laboratory technician ,4,married,3210.0,0,,11,3,full_time,1,4,3.0,15,10,11,yes,research & development,4
60,no,travel_frequently,28,3,,,f,2,3, sales executive ,1,married,10266.0,4,no,19,4,full_time,0,5,4.0,18,13,11,yes,sales,3
40,no,travel_frequently,5,4,,729.0,m,2,3, sales executive ,1,married,10475.0,5,yes,21,3,part_time,1,2,3.0,18,1,12,no,sales,4
32,no,travel_rarely,4,3,,830.0,f,2,2, manufacturing director ,3,married,6162.0,1,no,12,3,part_time,1,3,3.0,14,6,8,no,research & development,3
41,no,travel_rarely,35,3,,,m,3,1, laboratory technician ,1,single,4721.0,2,yes,13,3,full_time,0,3,3.0,18,2,17,yes,research & development,3
53,no,,2,2,medical,981.0,m,3,4, manager ,3,divorced,,6,no,13,3,full_time,1,3,4.0,17,15,2,no,unknow,3
36,yes,travel_rarely,16,4,,1042.0,f,4,1, laboratory technician ,1,single,,1,,16,3,part_time,0,1,3.0,17,15,14,yes,research & development,3
46,no,,8,4,life sciences,1080.0,f,2,2, research scientist ,1,divorced,4615.0,8,yes,23,1,full_time,3,2,3.0,16,1,7,no,research & development,4
38,no,travel_rarely,1,4,,1995.0,m,3,2, sales executive ,2,married,,0,no,15,1,full_time,2,3,,15,5,8,yes,sales,4
51,no,,1,4,,145.0,f,2,3, healthcare representative ,1,single,,3,,20,3,full_time,0,1,2.0,13,12,8,yes,research & development,1
43,no,,26,2,,158.0,m,3,4, manager ,4,married,16959.0,1,yes,12,4,part_time,2,3,4.0,25,4,12,yes,unknow,3
37,no,,1,3,life sciences,391.0,f,3,1, research scientist ,4,single,,1,no,12,2,part_time,0,3,3.0,17,5,7,yes,research & development,4
32,no,travel_rarely,8,2,technical degree,436.0,f,2,2, sales executive ,2,married,,1,yes,11,4,part_time,0,2,3.0,13,11,9,yes,sales,3
38,no,,1,3,,,f,3,3, research director ,1,married,,1,,13,2,full_time,1,3,3.0,15,5,11,no,research & development,4
46,no,,3,3,life sciences,1527.0,f,3,4, manager ,2,,,8,no,12,4,part_time,1,2,4.0,13,5,1,yes,unknow,3
35,yes,travel_rarely,10,3,medical,,m,2,3, sales executive ,1,married,10306.0,9,,17,3,full_time,0,3,,13,6,0,no,sales,4
43,no,,6,3,medical,1866.0,f,2,5, manager ,3,married,,7,no,13,4,full_time,0,2,3.0,16,6,14,yes,unknow,1
56,no,non_travel,1,4,life sciences,2026.0,m,3,2, healthcare representative ,3,divorced,,1,no,21,1,full_time,1,2,2.0,13,1,9,yes,research & development,3
36,no,non_travel,15,4,marketing,,m,1,2, sales executive ,4,divorced,5406.0,1,no,24,1,part_time,1,4,2.0,15,11,11,yes,sales,4
38,no,,6,3,medical,107.0,f,1,2, research scientist ,4,,,7,,12,4,full_time,3,3,3.0,13,1,9,yes,research & development,2
49,no,,26,4,medical,170.0,f,3,2, manufacturing director ,1,,,1,no,14,3,full_time,0,2,2.0,15,5,11,no,research & development,3
39,no,travel_rarely,4,4,life sciences,,f,2,2, sales executive ,3,married,5902.0,4,,14,3,part_time,1,1,4.0,15,5,9,yes,sales,4
40,no,,4,4,,215.0,m,2,3, sales executive ,4,married,10855.0,7,no,11,1,full_time,1,2,2.0,12,2,11,yes,sales,3
36,no,,5,2,,304.0,m,3,2, laboratory technician ,2,single,5914.0,8,no,16,4,part_time,0,3,4.0,13,3,7,yes,research & development,4
37,no,,25,5,,529.0,f,3,2, research scientist ,3,married,,3,yes,15,1,part_time,2,2,3.0,13,10,7,no,research & development,2
35,no,,6,4,,691.0,m,1,2, research scientist ,4,,6646.0,1,,13,2,full_time,0,3,3.0,17,11,8,yes,research & development,2
33,no,travel_frequently,6,3,life sciences,692.0,m,3,2, healthcare representative ,4,divorced,,3,no,23,3,full_time,1,2,1.0,13,4,7,no,research & development,3
50,no,travel_rarely,24,3,,1005.0,m,3,4, manufacturing director ,3,married,13973.0,3,yes,18,4,full_time,1,2,3.0,12,1,5,no,research & development,4
48,no,travel_rarely,4,4,,1024.0,m,2,3, healthcare representative ,3,single,,7,,14,2,part_time,0,3,3.0,15,4,8,yes,research & development,3
44,no,travel_rarely,28,3,,1039.0,f,4,4, sales executive ,4,married,13320.0,3,,18,3,part_time,1,2,3.0,12,11,11,yes,sales,4
44,no,travel_rarely,29,4,,1225.0,m,3,2, research scientist ,4,single,,1,,25,2,full_time,0,3,3.0,20,13,17,yes,research & development,4
40,no,,25,1,,1375.0,f,4,2, healthcare representative ,3,,,5,no,20,2,full_time,3,0,3.0,12,11,8,yes,research & development,2
34,no,travel_rarely,2,4,,,f,3,2, healthcare representative ,4,single,6687.0,1,,11,4,part_time,0,2,4.0,14,4,11,yes,research & development,3
35,no,non_travel,8,4,,,f,3,2, healthcare representative ,3,,,1,,12,4,part_time,1,5,3.0,14,2,9,yes,research & development,3
50,no,,17,5,life sciences,,f,2,3, research director ,1,,,5,no,15,3,full_time,3,3,3.0,14,1,11,no,research & development,4
49,no,,6,1,life sciences,1661.0,f,2,4, healthcare representative ,3,,,2,,19,2,part_time,1,3,3.0,15,2,12,yes,research & development,3
38,no,travel_frequently,1,3,life sciences,1668.0,m,3,2, research scientist ,4,,4735.0,7,no,15,4,part_time,2,4,,13,2,9,yes,research & development,4
33,no,,21,3,,1698.0,m,4,1, laboratory technician ,2,,,1,no,18,4,full_time,3,6,,14,2,13,yes,research & development,2
47,no,travel_rarely,4,3,life sciences,,f,2,3, manufacturing director ,2,divorced,,8,yes,12,3,full_time,1,4,3.0,22,14,10,yes,research & development,3
38,no,,8,3,,1937.0,f,2,2, research scientist ,2,divorced,,1,,16,3,full_time,1,3,3.0,20,0,7,no,research & development,4
37,no,travel_rarely,10,3,life sciences,2017.0,f,4,3, research director ,4,,,1,yes,25,1,full_time,1,2,3.0,16,6,8,yes,research & development,3
30,no,,2,3,,117.0,m,2,2, healthcare representative ,4,married,,1,no,19,1,part_time,3,3,3.0,11,10,8,yes,research & development,3
58,no,travel_rarely,18,4,,131.0,m,3,4, sales executive ,3,single,13872.0,0,,13,3,full_time,0,1,2.0,37,1,8,yes,sales,4
34,no,travel_rarely,5,3,,153.0,f,2,3, manager ,1,single,,2,,12,4,part_time,0,6,3.0,11,5,8,no,unknow,3
58,yes,travel_rarely,23,4,medical,,f,3,3, healthcare representative ,4,married,,1,,12,4,full_time,1,3,2.0,40,15,6,yes,research & development,4
38,no,,3,3,life sciences,307.0,m,3,3, sales executive ,3,divorced,,0,,12,3,full_time,2,6,2.0,16,5,13,yes,sales,1
