Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
Shut In,Ingles,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,2022-03-24,399.436,224,7.2,0,304106,90,"Horror, Thriller",USA,PG-13,Farren Blackburn,Naomi Watts|Oliver Platt|Charlie Heaton|Jacob Tremblay|Clémentine Poidatz|Alex Braunstein|David Cubitt|Crystal Balint|Ellen David|Tim Post|Peter Outerbridge|Anton Chevrier|Thomas Macedo,"Sutton, Québec, Canada",Slasher
Goodnight Mommy,Ingles,"When twin brothers arrive home to find their mother’s demeanor altered and face covered in surgical bandages, they begin to suspect the woman beneath the gauze might not be their mother.",2022-09-16,198.775,159,6.2,0,0,91,"Drama, Horror, Thriller",USA,R,"Severin Fiala, Veronika Franz",Lukas Schwarz|Elias Schwarz|Susanne Wuest|Hans Escher|Elfriede Schatz|Karl Purker|Georg Deliovsky|Christian Steindl|Christian Schatz|Erwin Schmalzbauer,"Schloßgasse 2 3824, Raabs an der Thaya, Austria",Terror psicológico
The Conjuring,Ingles,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",2013-07-18,173.527,9735,7.5,13000000,319494638,112,"Horror, Thriller",USA,R,James Wan,Vera Farmiga|Patrick Wilson|Lili Taylor|Ron Livingston|Shanley Caswell|Hayley McFarland|Joey King|Mackenzie Foy|Kyla Deaver|Shannon Kook|John Brotherton|Sterling Jerins|Marion Guyot|Morganna Bridgers|Amy Tipton,"Wilmington, North Carolina, USA",Slasher
The Invitation,Ingles,"After the death of her mother, Evie is approached by an unknown cousin who invites her to a lavish wedding in the English countryside. Soon, she realizes a gothic conspiracy is afoot and must fight for survival as she uncovers twisted secrets in her family’s history.",2022-08-24,168.001,176,6.3,10000000,30000000,105,"Horror, Thriller",USA,NOT RATED,Karyn Kusama,Logan Marshall-Green|Tammy Blanchard|Emayatzy Corinealdi|Aiden Lovekamp|Michelle Krusiec|Mike Doyle|Jordi Vilasuso|Jay Larson|Marieh Delfino|Michiel Huisman|Lindsay Burdge|John Carroll Lynch|Toby Huss|Danielle Camastra|Trish Gates,"Los Angeles, California, USA",Slasher
The Haunting of Helena,Ingles,"After a divorce, Sophia moves to the south of Italy with her daughter, Helena. Their new home, an apartment within an austere building of the fascist age, is a chance for them to start a new life. But inside an old storage room hides a mysterious closet and a buried secret. After the loss of Helena’s first baby tooth, a chilling obsession begins and an apparition haunts her sleep...",2013-01-14,142.934,129,5.5,0,0,87,"Horror, Thriller",USA,NOT RATED,"Christian Bisceglia, Ascanio Malgarini",Harriet MacMasters-Green|Sabrina Jolie Perez|Jarreth J. Merz|Matt Patresi|Paolo Paoloni|Giuliano Montaldo|Susanna Cornacchia|Marco Fattibene|Lucrezia Tosi|Massimiliano Carnevale|Angela Presepi|Marco Basile|Melania Maccaferri|Alice Filippi|Alessia Cannavale,"Latina, Lazio, Italy",Slasher
Naruto Shippuden the Movie: Blood Prison,Japones,"After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",2011-07-30,142.096,404,7.2,0,0,108,"Action, Animation, Comedy, Horror, Mystery, Thriller",USA,TV-14,Masahiko Murata,Junko Takeuchi|Chie Nakamura|Rikiya Koyama|Kazuhiko Inoue|Masaki Terasoma|Mie Sonozaki|Yûichi Nakamura|Kengo Kawanishi|Kôsei Hirota|Masako Katsuki|Shôtarô Morikubo|Kentarô Itô|Kôsuke Toriumi|Kôichi Tôchika|Yukari Tamura,Desconocido,Terror animado
The Conjuring 2,Ingles,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,2016-06-08,137.18,7061,7.3,40000000,320392818,134,"Horror, Thriller",USA,R,James Wan,Patrick Wilson|Vera Farmiga|Madison Wolfe|Frances O'Connor|Lauren Esposito|Benjamin Haigh|Patrick McAuley|Simon McBurney|Maria Doyle Kennedy|Simon Delaney|Franka Potente|Bob Adrian|Robin Atkin Downes|Bonnie Aarons|Javier Botet,"Los Angeles, California, USA",Slasher
World War Z,Ingles,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",2013-06-20,131.399,13440,6.8,200000000,531865000,116,"Action, Drama, Horror, Science Fiction, Thriller",USA,PG-13,Marc Forster,Brad Pitt|Mireille Enos|Daniella Kertesz|James Badge Dale|Ludi Boeken|Matthew Fox|Fana Mokoena|David Morse|Elyes Gabel|Peter Capaldi|Pierfrancesco Favino|Ruth Negga|Moritz Bleibtreu|Sterling Jerins|Abigail Hargrove,"Lulworth Cove, Weymouth, Dorset, England, UK",Terror de ciencia ficción
A Haunted House 2,Ingles,"After exorcising the demons of his ex-, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",2014-04-17,125.807,1126,6.0,4000000,25343661,87,"Comedy, Horror",USA,R,Michael Tiddes,Marlon Wayans|Jaime Pressly|Essence Atkins|Gabriel Iglesias|Missi Pyle|Ashley Rickards|Affion Crockett|Steele Stebbins|Rick Overton|Hayes MacArthur|Dave Sheridan|Cedric the Entertainer|Kurt Carley|Tom Virtue|Kym Whitley,"Los Angeles, California, USA",Terror cómico
Hidden,Ingles,A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,2015-09-15,117.32,712,6.8,0,0,83,"Horror, Thriller",USA,R,"Matt Duffer, Ross Duffer",Alexander Skarsgård|Andrea Riseborough|Emily Alyn Lind|Steven Elliot|Heather Doerksen|William Ainscough|David Lewis,"Vancouver, British Columbia, Canada",Slasher
Cult of Chucky,Ingles,"Confined to an asylum for the criminally insane, Nica Pierce is convinced that she, not Chucky, murdered her entire family. But when the psychiatrist introduces a new therapeutic ""Good Guy"" doll with a familiar face, a string of new, grisly deaths leads Nica to wonder if she isn't crazy after all.",2017-10-23,116.318,959,5.8,6500000,2200000,91,"Horror, Thriller",France,R,Don Mancini,Allison Dawn Doiron|Alex Vincent|Brad Dourif|Fiona Dourif|Dan De Jaeger|Matthew Stefanson|Michael Therriault|Zak Santiago|Ali Tataryn|Marina Stephenson Kerr|Adam Hurtig|Grace Lynn Kung|Elisabeth Rosen|Jennifer Tilly|Summer H. Howell,"Atlanta, Georgia, USA",Slasher
