Country,Year,Continent,Disorder,Percentage
Australia,1990,Oceanía,Schizophrenia ,"0,360488563758999"
Australia,1991,Oceanía,Schizophrenia ,"0,36119568201"
Australia,1992,Oceanía,Schizophrenia ,"0,361892513407"
Australia,1993,Oceanía,Schizophrenia ,"0,362523972112"
Australia,1994,Oceanía,Schizophrenia ,"0,363000615429"
Australia,1995,Oceanía,Schizophrenia ,"0,363259442515"
Australia,1996,Oceanía,Schizophrenia ,"0,363434882989"
Australia,1997,Oceanía,Schizophrenia ,"0,363708865807"
Australia,1998,Oceanía,Schizophrenia ,"0,364029573568"
Australia,1999,Oceanía,Schizophrenia ,"0,364343097201"
Australia,2000,Oceanía,Schizophrenia ,"0,364608737946"
Australia,2001,Oceanía,Schizophrenia ,"0,364995091203"
Australia,2002,Oceanía,Schizophrenia ,"0,365601684762"
Australia,2003,Oceanía,Schizophrenia ,"0,366273757512"
Australia,2004,Oceanía,Schizophrenia ,"0,366823717906"
Australia,2005,Oceanía,Schizophrenia ,"0,367078392792"
Australia,2006,Oceanía,Schizophrenia ,"0,366968575118"
Australia,2007,Oceanía,Schizophrenia ,"0,366635314967"
Australia,2008,Oceanía,Schizophrenia ,"0,366203924433"
Australia,2009,Oceanía,Schizophrenia ,"0,365813054392"
Australia,2010,Oceanía,Schizophrenia ,"0,365597517033"
Australia,2011,Oceanía,Schizophrenia ,"0,365463779936"
Australia,2012,Oceanía,Schizophrenia ,"0,365245212592"
Australia,2013,Oceanía,Schizophrenia ,"0,364942248519999"
Australia,2014,Oceanía,Schizophrenia ,"0,364576751506"
Australia,2015,Oceanía,Schizophrenia ,"0,364163201111"
Australia,2016,Oceanía,Schizophrenia ,"0,363742633594"
Australia,2017,Oceanía,Schizophrenia ,"0,363326333425"
Belgium,1990,Europa,Schizophrenia ,"0,258182209406"
Belgium,1991,Europa,Schizophrenia ,"0,258625343804"
Belgium,1992,Europa,Schizophrenia ,"0,259005520034"
Belgium,1993,Europa,Schizophrenia ,"0,259312480694"
Belgium,1994,Europa,Schizophrenia ,"0,259536912346"
Belgium,1995,Europa,Schizophrenia ,"0,259659884111"
Belgium,1996,Europa,Schizophrenia ,"0,259665331841"
Belgium,1997,Europa,Schizophrenia ,"0,259598986723"
Belgium,1998,Europa,Schizophrenia ,"0,259519978078"
Belgium,1999,Europa,Schizophrenia ,"0,259457479030999"
Belgium,2000,Europa,Schizophrenia ,"0,259446724214"
Belgium,2001,Europa,Schizophrenia ,"0,259524865174"
Belgium,2002,Europa,Schizophrenia ,"0,25964050166"
Belgium,2003,Europa,Schizophrenia ,"0,259752230979"
Belgium,2004,Europa,Schizophrenia ,"0,259837479787"
Belgium,2005,Europa,Schizophrenia ,"0,25985663806"
Belgium,2006,Europa,Schizophrenia ,"0,259574188573"
Belgium,2007,Europa,Schizophrenia ,"0,25893917132"
Belgium,2008,Europa,Schizophrenia ,"0,258192686658999"
