original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,titulos minuscula,Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget
Shut In,Shut In,en,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,The will to live is found within.,2022-03-24,/b5ug4LyLQFeR6azAJyIPBQz5ur9.jpg,399.436,224,7.2,0,304106,90,Released,False,/ufagam4FwlIcgPqJlr21EshNkNd.jpg,"Horror, Thriller",,,shutin,Shut In, Drama| Horror| Thriller,11-Nov-16,USA,PG-13,4.7,91 min,"Directed by Farren Blackburn. With Naomi Watts, Charlie Heaton, Jacob Tremblay, Oliver Platt. A heart-pounding thriller about a widowed child psychologist who lives an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",Naomi Watts|Oliver Platt|Charlie Heaton|Jacob Tremblay|Clémentine Poidatz|Alex Braunstein|David Cubitt|Crystal Balint|Ellen David|Tim Post|Peter Outerbridge|Anton Chevrier|Thomas Macedo,English,"Sutton, Québec, Canada","$10,000,000 "
Goodnight Mommy,Goodnight Mommy,en,"When twin brothers arrive home to find their mother’s demeanor altered and face covered in surgical bandages, they begin to suspect the woman beneath the gauze might not be their mother.",The darkest family secrets stay under wraps.,2022-09-16,/oHhD5jD4S5ElPNNFCDKXJAzMZ5h.jpg,198.775,159,6.2,0,0,91,Released,False,/aCaqCvYn48b3lfGKGnUdVAE1yeB.jpg,"Drama, Horror, Thriller",,,goodnightmommy,Goodnight Mommy, Horror| Mystery| Thriller,11-Sep-15,USA,R,6.7,99 min,"Directed by Severin Fiala, Veronika Franz. With Lukas Schwarz, Elias Schwarz, Susanne Wuest, Hans Escher. Twin boys move to a new home with their mother after she has face changing cosmetic surgery, but under her bandages is someone the children don't recognize.",Lukas Schwarz|Elias Schwarz|Susanne Wuest|Hans Escher|Elfriede Schatz|Karl Purker|Georg Deliovsky|Christian Steindl|Christian Schatz|Erwin Schmalzbauer,German,"Schloßgasse 2 3824, Raabs an der Thaya, Austria",
The Conjuring,The Conjuring,en,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",Based on the true case files of the Warrens,2013-07-18,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,173.527,9735,7.5,13000000,319494638,112,Released,False,/aQCCpAIdWAp6wyFgjMry4okwrZo.jpg,"Horror, Thriller",313086.0,The Conjuring Collection,theconjuring,The Conjuring, Horror| Mystery| Thriller,19-Jul-13,USA,R,7.5,112 min,"Directed by James Wan. With Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor. Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.",Vera Farmiga|Patrick Wilson|Lili Taylor|Ron Livingston|Shanley Caswell|Hayley McFarland|Joey King|Mackenzie Foy|Kyla Deaver|Shannon Kook|John Brotherton|Sterling Jerins|Marion Guyot|Morganna Bridgers|Amy Tipton,English|Latin,"Wilmington, North Carolina, USA","$20,000,000 "
The Invitation,The Invitation,en,"After the death of her mother, Evie is approached by an unknown cousin who invites her to a lavish wedding in the English countryside. Soon, she realizes a gothic conspiracy is afoot and must fight for survival as she uncovers twisted secrets in her family’s history.",You are cordially invited to a nightmare generations in the making.,2022-08-24,/jcTq6gIskCsHlKDvCKKouEfiU66.jpg,168.001,176,6.3,10000000,30000000,105,Released,False,/yo0qfH2dQGGMxkfivdkz5zxVatD.jpg,"Horror, Thriller",,,theinvitation,The Invitation, Drama| Horror| Mystery| Thriller,8-Apr-16,USA,NOT RATED,6.7,100 min,"Directed by Karyn Kusama. With Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard. While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.",Logan Marshall-Green|Tammy Blanchard|Emayatzy Corinealdi|Aiden Lovekamp|Michelle Krusiec|Mike Doyle|Jordi Vilasuso|Jay Larson|Marieh Delfino|Michiel Huisman|Lindsay Burdge|John Carroll Lynch|Toby Huss|Danielle Camastra|Trish Gates,English,"Los Angeles, California, USA",
The Haunting of Helena,The Haunting of Helena,en,"After a divorce, Sophia moves to the south of Italy with her daughter, Helena. Their new home, an apartment within an austere building of the fascist age, is a chance for them to start a new life. But inside an old storage room hides a mysterious closet and a buried secret. After the loss of Helena’s first baby tooth, a chilling obsession begins and an apparition haunts her sleep...",She's coming for her.,2013-01-14,/iB8rf8FYHGlrbmLybCo6Mpg8hNt.jpg,142.934,129,5.5,0,0,87,Released,False,/uEWCi9fc89m9qS5SNshlvxkSsLJ.jpg,"Horror, Thriller",,,thehauntingofhelena,The Haunting of Helena, Horror| Thriller,18-Jun-13,USA,NOT RATED,4.7,84 min,"Directed by Christian Bisceglia, Ascanio Malgarini. With Harriet MacMasters-Green, Sabrina Jolie Perez, Jarreth J. Merz, Matt Patresi. A single mother moves into a new house with her daughter. Soon after the young girl has her first baby tooth fall off, she begins to recount that she is having nocturnal visits by a tooth fairy. It seems the house has a sinister history.",Harriet MacMasters-Green|Sabrina Jolie Perez|Jarreth J. Merz|Matt Patresi|Paolo Paoloni|Giuliano Montaldo|Susanna Cornacchia|Marco Fattibene|Lucrezia Tosi|Massimiliano Carnevale|Angela Presepi|Marco Basile|Melania Maccaferri|Alice Filippi|Alessia Cannavale,English,"Latina, Lazio, Italy",
劇場版 NARUTO -ナルト- ブラッド・プリズン,Naruto Shippuden the Movie: Blood Prison,ja,"After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",,2011-07-30,/4WT7zYFpe0fsbg6TitppiHddWAh.jpg,142.096,404,7.2,0,0,108,Released,False,/Abv3ZtGV2NXxPimArb3LDLg2bDH.jpg,"Action, Animation, Comedy, Horror, Mystery, Thriller",23616.0,Naruto Collection,narutoshippudenthemoviebloodprison,Naruto Shippuden the Movie: Blood Prison, Animation| Action| Comedy| Horror| Mystery| Thriller,18-Feb-14,USA,TV-14,7.4,108 min,"Directed by Masahiko Murata. With Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue. Naruto's battle to reclaim his honor begins! Naruto is convicted of a serious crime he didn't commit and is sent to the inescapable prison, Hozuki Castle. The warden, Mui, quickly seals away Naruto's chakra to prevent him from rebelling. Refusing to give up, Naruto plans his escape while also befriending his fellow inmates Ryuzetsu and Maroi. But he can't help but wonder what their ulterior ...",Junko Takeuchi|Chie Nakamura|Rikiya Koyama|Kazuhiko Inoue|Masaki Terasoma|Mie Sonozaki|Yûichi Nakamura|Kengo Kawanishi|Kôsei Hirota|Masako Katsuki|Shôtarô Morikubo|Kentarô Itô|Kôsuke Toriumi|Kôichi Tôchika|Yukari Tamura,Japanese,,
The Conjuring 2,The Conjuring 2,en,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,The next true story from the case files of Ed and Lorraine Warren.,2016-06-08,/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,137.18,7061,7.3,40000000,320392818,134,Released,False,/4mfFtlGeInPrQVm1hpv7th02yjx.jpg,"Horror, Thriller",313086.0,The Conjuring Collection,theconjuring2,The Conjuring 2, Horror| Mystery| Thriller,10-Jun-16,USA,R,7.4,134 min,"Directed by James Wan. With Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor. Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.",Patrick Wilson|Vera Farmiga|Madison Wolfe|Frances O'Connor|Lauren Esposito|Benjamin Haigh|Patrick McAuley|Simon McBurney|Maria Doyle Kennedy|Simon Delaney|Franka Potente|Bob Adrian|Robin Atkin Downes|Bonnie Aarons|Javier Botet,English,"Los Angeles, California, USA","$40,000,000 "
World War Z,World War Z,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",Remember Philly!,2013-06-20,/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg,131.399,13440,6.8,200000000,531865000,116,Released,False,/zxpEFyKDxaU8kjMB3vWao7B5V2p.jpg,"Action, Drama, Horror, Science Fiction, Thriller",,,worldwarz,World War Z, Action| Adventure| Horror| Sci-Fi| Thriller,21-Jun-13,USA,PG-13,7.0,116 min,"Directed by Marc Forster. With Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale. Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",Brad Pitt|Mireille Enos|Daniella Kertesz|James Badge Dale|Ludi Boeken|Matthew Fox|Fana Mokoena|David Morse|Elyes Gabel|Peter Capaldi|Pierfrancesco Favino|Ruth Negga|Moritz Bleibtreu|Sterling Jerins|Abigail Hargrove,English|Spanish|Hebrew|Arabic,"Lulworth Cove, Weymouth, Dorset, England, UK","$190,000,000 "
A Haunted House 2,A Haunted House 2,en,"After exorcising the demons of his ex-, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",It'll scare the #2 out of you.,2014-04-17,/oV7M00fPXy5P0nbdeMbSUjYv0vx.jpg,125.807,1126,6.0,4000000,25343661,87,Released,False,/6gycezbvc8iHSune1Evq79dcYIY.jpg,"Comedy, Horror",251937.0,A Haunted House Collection,ahauntedhouse2,A Haunted House 2, Comedy| Fantasy| Horror,18-Apr-14,USA,R,4.7,86 min,"Directed by Michael Tiddes. With Marlon Wayans, Jaime Pressly, Cedric the Entertainer, Essence Atkins. Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.",Marlon Wayans|Jaime Pressly|Essence Atkins|Gabriel Iglesias|Missi Pyle|Ashley Rickards|Affion Crockett|Steele Stebbins|Rick Overton|Hayes MacArthur|Dave Sheridan|Cedric the Entertainer|Kurt Carley|Tom Virtue|Kym Whitley,English,"Los Angeles, California, USA","$4,000,000 "
Hidden,Hidden,en,A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,Fear will find you.,2015-09-15,/oiNc4aTeaUMVNkxL0UWnezmKJgM.jpg,117.32,712,6.8,0,0,83,Released,False,/6yIdUIeAXfqUzH93CGDWHsj44AG.jpg,"Horror, Thriller",,,hidden,Hidden, Horror| Thriller,15-Sep-15,USA,R,6.4,84 min,"Directed by Matt Duffer, Ross Duffer. With Alexander Skarsgård, Andrea Riseborough, Emily Alyn Lind, Steven Elliot. A family takes refuge in a bomb shelter to avoid a dangerous outbreak.",Alexander Skarsgård|Andrea Riseborough|Emily Alyn Lind|Steven Elliot|Heather Doerksen|William Ainscough|David Lewis,English,"Vancouver, British Columbia, Canada",
