Year,Gender,Country,Occupation,Self Employed,Family History,Treatment,Days Indoors,Growing Stress,Changes Habits,Mental Health History,Mood Swings,Coping Struggles,Work Interest,Social Weakness,Mental Health Interview,Care Options,Continent
2014,Female,United States,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,United States,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,América
2014,Female,United States,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,América
2014,Female,United States,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,Yes,América
2014,Female,Poland,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,Not sure,Europa
2014,Female,Australia,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,Oceanía
2014,Female,United States,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,América
2014,Female,United States,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,United States,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,Canada,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,América
2014,Female,United Kingdom,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,No,Europa
2014,Female,United States,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,South Africa,Corporate,Yes,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,África
2014,Female,United States,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,América
2014,Female,United Kingdom,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,Europa
2014,Female,United States,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,América
2014,Female,United States,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,América
2014,Female,Sweden,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,Europa
2014,Female,Sweden,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,Europa
2014,Female,United States,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Yes,Yes,América
2014,Female,United Kingdom,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,Europa
2014,Female,United Kingdom,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,Not sure,Europa
2014,Female,United States,Corporate,Yes,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,América
2014,Female,Canada,Corporate,Yes,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,Australia,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,Oceanía
2014,Female,New Zealand,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Oceanía
2014,Female,Canada,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,United States,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,Not sure,América
2014,Female,United Kingdom,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Europa
2014,Female,Netherlands,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Europa
2014,Female,Australia,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Oceanía
2014,Female,United Kingdom,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Europa
2014,Female,India,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,Asia
2014,Female,Canada,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,United States,Corporate,Yes,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,América
2014,Female,United Kingdom,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Europa
2014,Female,United Kingdom,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Europa
2014,Female,United Kingdom,Corporate,Yes,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Europa
2014,Female,Canada,Corporate,Yes,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,Yes,América
