age,attrition,businesstravel,distancefromhome,education,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,remotework,department,environmentsatisfaction
51,no,Unknown,6,3,m,3,5, research director ,3,Unknown,19537.0,7,no,13,3,full_time,0,5,3,20,15,15,yes,research & development,1
52,no,Unknown,1,4,m,2,5, manager ,3,Unknown,19999.0,0,Unknown,14,1,full_time,1,5,3,33,11,9,yes,unknow,3
42,no,travel_rarely,4,2,m,3,5, manager ,4,married,19232.0,1,no,11,4,full_time,0,3,3,22,11,15,yes,research & development,3
47,no,travel_rarely,2,4,f,3,4, research director ,3,married,17169.0,3,Unknown,19,2,full_time,2,2,3,20,5,6,no,research & development,1
46,no,Unknown,3,3,f,4,4, sales executive ,1,divorced,6477.686121919585,2,no,12,4,full_time,1,5,3,19,2,8,no,sales,1
48,no,Unknown,22,3,f,3,4, manager ,4,Unknown,17174.0,3,no,11,2,full_time,1,3,3,22,4,7,yes,research & development,4
59,no,Unknown,25,3,f,3,3, sales executive ,1,Unknown,6477.686121919585,7,Unknown,11,4,full_time,0,3,2,21,7,9,yes,sales,1
42,no,travel_rarely,1,1,m,3,2, sales executive ,3,married,6477.686121919585,1,no,25,3,full_time,0,3,3,20,11,6,no,sales,2
41,no,Unknown,2,5,f,3,4, manager ,1,married,16595.0,7,no,16,2,full_time,1,2,3,18,11,8,yes,unknow,2
41,no,travel_frequently,9,3,m,3,5, research director ,3,Unknown,6477.686121919585,2,no,17,2,full_time,1,2,4,18,0,11,no,research & development,1
41,no,non_travel,7,1,f,1,5, research director ,3,Unknown,19973.0,1,no,22,2,full_time,2,3,3,21,5,10,no,research & development,2
56,no,travel_rarely,23,3,m,3,4, manufacturing director ,2,married,13402.0,4,yes,12,1,full_time,1,0,3,19,15,9,no,research & development,4
38,no,Unknown,10,3,f,1,3, research director ,3,married,13206.0,3,no,12,1,full_time,1,3,3,18,1,11,yes,research & development,2
41,yes,travel_rarely,12,3,f,3,5, research director ,3,married,19545.0,1,no,12,4,full_time,0,0,3,22,15,8,no,research & development,2
55,no,Unknown,14,4,m,4,5, research director ,2,single,6477.686121919585,8,no,11,4,full_time,0,3,3,24,2,15,yes,research & development,3
